Seller,Total Sales
@lavenderstar86,422500g
@SpankaTeyr,12900g
@TheAlmightySear,149000g
@Jrod2418,87000g
@Olivene,57000g
@zebini200,420000g
@BobSenpai,120000g
@xXShadofireXx,35400g
@NatDagger,188500g
@L3xz,21000g
@Ziren7,19500g
@Lonewolf0775,290000g
@ChaoslordVed,160000g
@Joshuagst,135000g
@anarki45,165000g
@UhhBlu,80000g
@doctadalton,130000g
@jaskos96,455000g
@Kefkaas,92598g
@MakotoMitsuri,200000g
@triskellionwearer,24230g
@obongajr,36500g
@daemon07,6000g
@xMetalFreakx,24752g
@Fixed_Odds,4000g
@P-PoofyBiteSize,280000g
@SpectreKH,94000g
@Akalam,1308000g
@PreciseSkill,350900g
@DarkZero1905,4515g
@Itsgametime,326000g
@Mgkv1,594g
@Orich,4500g
@mariusapan,120000g
@Jigsawxo,129495g
@istepsbysteps,3500g
@backpocket08,250g
@coolice07,60000g
@zynemorg,4139g
@Satar1,24000g
@RamenNoodleLord,150g
@PaurandMyrne,440450g
@DocHol1iday,65500g
@moonglory71,10000g
@DemonicdeathXXX,43200g
@Error_72890,132100g
@jaacobby,79999g
@DukeJacobus45,45000g
@MightBkhrazed,17000g
@Cloudfloat,540g
